Bag ID,Depth,Section,Sample ID,Replicate,Time Retrieved,Present?,Thickness (mm),Size for weight (cm^2),Weight (g),Resistance 100Hz (M ohm),Resistance 120Hz (M ohm),Resistance 1k Hz (M ohm),Resistance 10k Hz (M ohm),Resistance 100k Hz (M ohm),Pre.Post
7,0,Q1,D,2,4,yes,,60,0.397,0,0,39.8,2.23,0.155,Post
15,0,Q2,D,3,4,yes,,60,0.389,0,0,38.7,2.45,0.245,Post
2,0,Q4,N,2,4,yes,,60,0.606,0,0,48.4,2.33,0.23,Pre
20,0,Q2,N,17,4,yes,,60,0.584,0,0,53.7,2.57,0.258,Pre
2,0,Q4,N,2,4,yes,,60,0.604,0,0,48.4,2.73,0.255,Post
20,0,Q2,N,17,4,yes,,60,0.579,0,0,53.3,2.05,0.234,Post
7,0,Q2,P,15,4,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
15,0,Q4,P,16,4,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
7,0,Q2,P,15,4,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
15,0,Q4,P,16,4,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
13,10,Q3,A,11,4,yes,,60,0.61,0,0,21.5,1.17,0.125,Pre
17,10,Q4,A,12,4,yes,,60,0.535,0,0,23.8,1.32,0.138,Pre
3,10,Q2,A,13,4,yes,,60,0.573,0,0,25.4,1.36,0.113,Pre
13,10,Q3,A,11,4,yes,,60,0.609,0,0,26.2,1.87,0.183,Post
17,10,Q4,A,12,4,yes,,60,0.532,0,0,33.4,2.98,0.34,Post
3,10,Q2,A,13,4,yes,,60,0.576,0,0,21.8,1.8,0.47,Post
5,10,Q3,B,10,4,yes,,60,0.083,0,0,33.7,1.8,0.152,Pre
10,10,Q4,B,11,4,yes,,60,0.131,0,0,29.1,1.54,0.147,Pre
1,10,Q1,B,14,4,yes,,60,0.086,0,0,40.5,2.08,0.168,Pre
5,10,Q3,B,10,4,yes,,60,0.083,0,0,29.7,2.24,0.144,Post
10,10,Q4,B,11,4,yes,,60,0.101,0,0,39.6,2.32,0.197,Post
1,10,Q1,B,14,4,yes,,60,0.088,0,0,51.5,2.78,0.443,Post
3,10,Q3,C,7,4,yes,,60,0.334,0,0,24.4,1.48,0.111,Pre
11,10,Q4,C,9,4,yes,,60,0.306,0,0,21.4,0.9,0.076,Pre
19,10,Q3,C,10,4,yes,,60,0.309,0,0,20.3,0.933,0.114,Pre
3,10,Q3,C,7,4,yes,,60,0.325,0,0,16.4,0.947,0.115,Post
11,10,Q4,C,9,4,yes,,60,0.302,0,0,17.1,1.72,0.174,Post
19,10,Q3,C,10,4,yes,,60,0.313,0,0,25.5,1.52,0.16,Post
19,10,Q4,D,4,4,yes,,60,0.391,0,0,27.7,2.45,0.172,Pre
11,10,Q3,D,5,4,yes,,60,0.396,0,0,34.4,1.73,0.151,Pre
1,10,Q4,D,6,4,yes,,60,0.371,0,0,32.1,1.5,0.149,Pre
19,10,Q4,D,4,4,yes,,60,0.391,0,0,27.8,2,0.137,Post
11,10,Q3,D,5,4,yes,,60,0.39,0,0,30.4,2.22,0.197,Post
1,10,Q4,D,6,4,yes,,60,0.368,0,0,33.6,2.21,1.27,Post
13,10,Q4,N,1,4,yes,,60,0.611,0,0,34.9,1.62,0.16,Pre
11,10,Q1,N,15,4,yes,,60,0.556,0,0,25.3,1.27,0.123,Pre
17,10,Q3,N,16,4,yes,,60,0.566,0,0,26,1.22,0.123,Pre
13,10,Q4,N,1,4,yes,,60,0.611,0,0,23.5,1.3,0.141,Post
11,10,Q1,N,15,4,yes,,60,0.557,0,0,21.4,1.25,0.131,Post
17,10,Q3,N,16,4,yes,,60,0.564,0,0,21.7,1.4,0.125,Post
8,10,Q1,P,13,4,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
5,10,Q2,P,14,4,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
10,10,Q3,P,17,4,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
8,10,Q1,P,13,4,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
5,10,Q2,P,14,4,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
10,10,Q3,P,17,4,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
6,0,Q1,N,18,BAG GONE,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
6,0,Q4,P,18,BAG GONE,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
6,0,Q1,N,18,BAG GONE,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
6,0,Q4,P,18,BAG GONE,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
30,0,Q4,A,7,8,yes,,60,0.604,0,0,23.5,1.54,0.131,Pre
29,0,Q4,A,8,8,yes,,60,0.626,0,0,27.7,1.35,0.14,Pre
27,0,Q4,A,9,8,yes,,60,0.593,0,0,22.2,1.33,0.144,Pre
30,0,Q4,A,7,8,yes,,60,0.602,0,0,20.9,1.04,0.117,Post
29,0,Q4,A,8,8,yes,,60,0.625,0,0,19.1,0.88,0.087,Post
27,0,Q4,A,9,8,yes,,60,0.579,0,0,20.1,1.15,0.133,Post
32,0,Q4,B,1,8,"yes, couple holes",,55,0.093,0,0,27.1,1.08,0.118,Pre
28,0,Q3,B,2,8,yes,,53,0.091,0,0,25.2,1.26,0.118,Pre
24,0,Q3,B,19,8,yes,,60,0.092,0,0,21.8,1.08,0.118,Pre
32,0,Q4,B,1,8,"yes, couple holes",,55,0.092,0,0,17.5,0.95,0.1,Post
28,0,Q3,B,2,8,yes,,53,0.088,0,0,16.3,1.11,0.126,Post
24,0,Q3,B,19,8,yes,,60,0.091,0,0,18,1.03,0.1,Post
33,0,Q1,C,4,8,"yes, hole",,58,0.348,0,0,21.1,0.94,0.101,Pre
29,0,Q1,C,5,8,yes,,60,0.425,0,0,21.3,0.87,0.09,Pre
23,0,Q1,C,6,8,yes,,60,0.33,0,0,21.6,0.83,0.109,Pre
33,0,Q1,C,4,8,"yes, hole",,58,0.345,0,0,15.2,0.85,0.083,Post
29,0,Q1,C,5,8,yes,,60,0.413,0,0,14.2,0.67,0.073,Post
23,0,Q1,C,6,8,yes,,60,0.331,0,0,14.5,0.64,0.076,Post
31,0,Q2,D,13,8,yes,,60,0.411,0,0,24.5,1.07,0.14,Pre
26,0,Q3,D,14,8,yes,,60,0.4,0,0,27.4,1.43,0.16,Pre
23,0,Q4,D,15,8,yes,,60,0.404,0,0,30.7,1.6,0.125,Pre
31,0,Q2,D,13,8,yes,,60,0.412,0,0,18.2,0.95,0.095,Post
26,0,Q3,D,14,8,yes,,60,0.401,0,0,15.4,0.92,0.098,Post
23,0,Q4,D,15,8,yes,,60,0.403,0,0,18.1,1.07,0.094,Post
25,0,Q4,N,3,8,yes,,59,0.585,0,0,24.2,1.56,0.141,Pre
28,0,Q2,N,4,8,yes,,60,0.605,0,0,26.3,1.21,0.142,Pre
33,0,Q3,N,5,8,yes,,60,0.594,0,0,27.1,1.25,0.128,Pre
25,0,Q4,N,3,8,yes,,59,0.584,0,0,17.5,0.78,0.137,Post
28,0,Q2,N,4,8,yes,,60,0.603,0,0,15.1,0.91,0.112,Post
33,0,Q3,N,5,8,yes,,60,0.59,0,0,19.6,0.74,0.096,Post
33,0,Q4,P,10,8,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
30,0,Q1,P,11,8,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
25,0,Q3,P,12,8,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
33,0,Q4,P,10,8,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
30,0,Q1,P,11,8,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
25,0,Q3,P,12,8,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
43,10,Q1,A,4,8,yes,,60,0.615,0,0,16.7,1.02,0.121,Pre
40,10,Q2,A,5,8,yes,,60,0.593,0,0,19.2,1.05,0.101,Pre
37,10,Q2,A,6,8,yes,,58,0.559,0,0,15.7,0.85,0.105,Pre
43,10,Q1,A,4,8,yes,,60,0.616,0,0,15.1,0.98,0.118,Post
40,10,Q2,A,5,8,yes,,60,0.594,0,0,16.7,0.98,0.097,Post
37,10,Q2,A,6,8,yes,,58,0.561,0,0,15.6,1,0.114,Post
44,10,Q4,B,3,8,"yes, hole and rip in middle",,60,0.1,0,0,18.9,1.07,0.113,Pre
37,10,Q3,B,4,8,"yes, hole in middle",,54,0.097,0,0,18.4,1.05,0.11,Pre
36,10,Q4,B,5,8,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
44,10,Q4,B,3,8,"yes, hole and rip in middle",,60,0.099,0,0,17.9,0.93,0.097,Post
37,10,Q3,B,4,8,"yes, hole in middle",,54,0.1,0,0,15.1,1.01,0.096,Post
36,10,Q4,B,5,8,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
41,10,Q2,C,1,8,"yes, rip in middle",,58,0.334,0,0,14.4,0.85,0.085,Pre
38,10,Q2,C,2,8,yes,,60,0.384,0,0,11.4,0.64,0.08,Pre
35,10,Q1,C,3,8,"yes, big rips",,60,0.317,0,0,14,0.76,0.075,Pre
41,10,Q2,C,1,8,"yes, rip in middle",,58,0.338,0,0,16.5,0.85,0.087,Post
38,10,Q2,C,2,8,yes,,60,0.386,0,0,13.6,0.88,0.087,Post
35,10,Q1,C,3,8,"yes, big rips",,60,0.319,0,0,12.1,0.65,0.084,Post
44,10,Q3,D,10,8,yes,,60,0.39,0,0,20.2,1,0.117,Pre
39,10,Q2,D,11,8,yes,,60,0.405,0,0,16.3,1.05,0.107,Pre
35,10,Q3,D,12,8,yes,,55,0.363,0,0,19.7,1.02,0.111,Pre
44,10,Q3,D,10,8,yes,,60,0.393,0,0,15.8,0.8,0.096,Post
39,10,Q2,D,11,8,yes,,60,0.407,0,0,18.8,1.04,0.092,Post
35,10,Q3,D,12,8,yes,,55,0.361,0,0,15.8,0.78,0.088,Post
34,10,Q3,N,6,8,yes,,60,0.6,0,0,18.8,0.94,0.115,Pre
39,10,Q3,N,7,8,yes,,60,0.558,0,0,20.4,1.04,0.11,Pre
42,10,Q4,N,8,8,"yes, small tear",,55,0.547,0,0,22.1,1.16,0.128,Pre
34,10,Q3,N,6,8,yes,,60,0.599,0,0,13.8,0.65,0.077,Post
39,10,Q3,N,7,8,yes,,60,0.558,0,0,12.6,0.93,0.088,Post
42,10,Q4,N,8,8,"yes, small tear",,55,0.548,0,0,13.6,0.9,0.87,Post
41,10,Q1,P,7,8,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
38,10,Q3,P,8,8,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
36,10,Q3,P,9,8,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
41,10,Q1,P,7,8,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
38,10,Q3,P,8,8,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
36,10,Q3,P,9,8,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
