Depth,Sample ID,Time Retrieved,Frequency,Pre,Post,Change (Pre-Post),Perc.LossN,Perc.Change
10,5,4,10k,NA,NA,NA,,NA
10,5,4,100k,NA,NA,NA,,NA
10,6,4,100,NA,NA,NA,,NA
10,6,4,120,NA,NA,NA,,NA
10,6,4,1k,NA,NA,NA,,NA
10,6,4,10k,NA,NA,NA,,NA
10,6,4,100k,NA,NA,NA,,NA
10,7,4,100,0,NA,NA,,NA
10,7,4,120,0,NA,NA,,NA
10,7,4,1k,66.5,NA,NA,,NA
10,7,4,10k,5.63,Na,NA,,NA
10,7,4,100k,0.381,NA,NA,,NA
10,8,4,100,NA,NA,NA,,NA
10,8,4,120,NA,NA,NA,,NA
10,8,4,1k,NA,NA,NA,,NA
10,8,4,10k,NA,NA,NA,,NA
10,8,4,100k,NA,NA,NA,,NA
10,P,4,100,NA,NA,NA,,NA
10,P,4,120,NA,NA,NA,,NA
10,P,4,1k,NA,NA,NA,,NA
10,P,4,10k,NA,NA,NA,,NA
10,P,4,100k,NA,NA,NA,,NA
10,N,4,100,0,0,0,0,NA
10,N,4,120,0,0,0,0,NA
10,N,4,1k,28.73333333,22.2,6.533333333,22.73781903,-22.73781903
10,N,4,10k,1.37,1.316666667,0.053333333,3.892944039,-3.892944039
10,N,4,100k,0.135333333,0.132333333,0.003,2.216748768,-2.216748768
0,1,8,100,NA,NA,NA,,NA
0,1,8,120,NA,NA,NA,,NA
0,1,8,1k,NA,NA,NA,,NA
0,1,8,10k,NA,NA,NA,,NA
0,1,8,100k,NA,NA,NA,,NA
0,2,8,100,0,0,0,0,NA
0,2,8,120,0,0,0,0,NA
0,2,8,1k,28.9,21.2,7.7,26.64359862,-26.64359862
0,2,8,10k,1.58,1.165,0.415,26.26582278,-26.26582278
0,2,8,100k,0.124,0.1045,0.0195,15.72580645,-15.72580645
0,3,8,100,NA,NA,NA,,NA
0,3,8,120,NA,NA,NA,,NA
0,3,8,1k,NA,NA,NA,,NA
0,3,8,10k,NA,NA,NA,,NA
0,3,8,100k,NA,NA,NA,,NA
0,4,8,100,NA,NA,NA,,NA
0,4,8,120,NA,NA,NA,,NA
0,4,8,1k,NA,NA,NA,,NA
0,4,8,10k,NA,NA,NA,,NA
0,4,8,100k,NA,NA,NA,,NA
0,5,8,100,NA,NA,NA,,NA
0,5,8,120,NA,NA,NA,,NA
0,5,8,1k,NA,NA,NA,,NA
0,5,8,10k,NA,NA,NA,,NA
0,5,8,100k,NA,NA,NA,,NA
0,6,8,100,NA,NA,NA,,NA
0,6,8,120,NA,NA,NA,,NA
0,6,8,1k,NA,NA,NA,,NA
0,6,8,10k,NA,NA,NA,,NA
0,6,8,100k,NA,NA,NA,,NA
0,7,8,100,NA,NA,NA,,NA
0,7,8,120,NA,NA,NA,,NA
0,7,8,1k,NA,NA,NA,,NA
0,7,8,10k,NA,NA,NA,,NA
0,7,8,100k,NA,NA,NA,,NA
0,8,8,100,NA,NA,NA,,NA
0,8,8,120,NA,NA,NA,,NA
0,8,8,1k,NA,NA,NA,,NA
0,8,8,10k,NA,NA,NA,,NA
0,8,8,100k,NA,NA,NA,,NA
0,P,8,100,NA,NA,NA,,NA
0,P,8,120,NA,NA,NA,,NA
0,P,8,1k,NA,NA,NA,,NA
0,P,8,10k,NA,NA,NA,,NA
0,P,8,100k,NA,NA,NA,,NA
0,N,8,100,0,0,0,0,NA
0,N,8,120,0,0,0,0,NA
0,N,8,1k,25.86666667,17.4,8.466666667,32.73195876,-32.73195876
0,N,8,10k,1.34,0.81,0.53,39.55223881,-39.55223881
0,N,8,100k,0.137,0.115,0.022,16.05839416,-16.05839416
10,1,8,100,NA,NA,NA,NA,NA
10,1,8,120,NA,NA,NA,NA,NA
10,1,8,1k,NA,NA,NA,NA,NA
10,1,8,10k,NA,NA,NA,NA,NA
10,1,8,100k,NA,NA,NA,NA,NA
10,2,8,100,0,0,0,0,NA
10,2,8,120,0,0,0,0,NA
10,2,8,1k,19.9,17.66666667,2.233333333,11.22278057,-11.22278057
10,2,8,10k,0.983333333,0.873333333,0.11,11.18644068,-11.18644068
10,2,8,100k,0.114333333,0.092,0.022333333,19.5335277,-19.5335277
10,3,8,100,NA,NA,NA,NA,NA
10,3,8,120,NA,NA,NA,NA,NA
10,3,8,1k,NA,NA,NA,NA,NA
10,3,8,10k,NA,NA,NA,NA,NA
10,3,8,100k,NA,NA,NA,NA,NA
10,4,8,100,NA,NA,NA,NA,NA
10,4,8,120,NA,NA,NA,NA,NA
10,4,8,1k,NA,NA,NA,NA,NA
10,4,8,10k,NA,NA,NA,NA,NA
10,4,8,100k,NA,NA,NA,NA,NA
10,5,8,100,NA,NA,NA,NA,NA
10,5,8,120,NA,NA,NA,NA,NA
10,5,8,1k,NA,NA,NA,NA,NA
10,5,8,10k,NA,NA,NA,NA,NA
10,5,8,100k,NA,NA,NA,NA,NA
10,6,8,100,NA,NA,NA,NA,NA
10,6,8,120,NA,NA,NA,NA,NA
10,6,8,1k,NA,NA,NA,NA,NA
10,6,8,10k,NA,NA,NA,NA,NA
10,6,8,100k,NA,NA,NA,NA,NA
10,7,8,100,NA,NA,NA,NA,NA
10,7,8,120,NA,NA,NA,NA,NA
10,7,8,1k,NA,NA,NA,NA,NA
10,7,8,10k,NA,NA,NA,NA,NA
10,7,8,100k,NA,NA,NA,NA,NA
10,8,8,100,NA,NA,NA,NA,NA
10,8,8,120,NA,NA,NA,NA,NA
10,8,8,1k,NA,NA,NA,NA,NA
10,8,8,10k,NA,NA,NA,NA,NA
10,8,8,100k,NA,NA,NA,NA,NA
10,P,8,100,NA,NA,NA,NA,NA
10,P,8,120,NA,NA,NA,NA,NA
10,P,8,1k,NA,NA,NA,NA,NA
10,P,8,10k,NA,NA,NA,NA,NA
10,P,8,100k,NA,NA,NA,NA,NA
10,N,8,100,0,0,0,0,NA
10,N,8,120,0,0,0,0,NA
10,N,8,1k,20.43333333,13.33333333,7.1,34.74714519,-34.74714519
10,N,8,10k,1.046666667,0.826666667,0.22,21.01910828,-21.01910828
10,N,8,100k,0.117666667,0.084,0.033666667,28.61189802,-28.61189802
